,ID,Brand,Harga,Model,Varian,Tahun,Transmisi,Tipe bahan bakar,Jarak tempuh,Warna,Tipe body,Kapasitas mesin,Sistem Penggerak,Tipe Penjual,Nama Bursa Mobil,URL,Fitur tambahan,Kadaluwarsa Pajak
839,536866004,Daihatsu,85000000.0,Ayla,X Elegant,2015,Manual,Bensin,60.000-65.000,Putih,,,,Individu,,https://www.olx.co.id/iklan/daihatsu-ayla-x-elegant-manual-2015-IDAkDn6.html?ad_type=OR#192a15bbe3,,
840,536865970,Honda,110000000.0,Brio,S,2016,Manual,Bensin,30.000-35.000,Silver,Minibus,≤1.000 - 1.500 cc,Front Wheel Drive (FWD),Individu,,https://www.olx.co.id/iklan/honda-brio-2015-ab-bantul-IDAkDmy.html?ad_type=OR#192a15bbe3,"Airbag, Sensor Parkir, Electric Window, Bluetooth Audio","22, Oct 2019"
841,536865946,Honda,89500000.0,City,VTEC,2007,Manual,Bensin,140.000-145.000,Silver,Sedan,≤1.000 - 1.500 cc,Front Wheel Drive (FWD),Individu,,https://www.olx.co.id/iklan/honda-new-city-vtech-mt-2007-IDAkDma.html?ad_type=OR#192a15bbe3,Airbag,"18, Mar 2020"
842,536865925,Chevrolet,105000000.0,Spin,LTZ,2013,Automatic,Bensin,60.000-65.000,Putih,SUV,≤1.000 - 1.500 cc,4X2,Individu,,https://www.olx.co.id/iklan/chevrolet-spin-ltz-1-5-matic-2013-IDAkDlP.html?ad_type=OR#192a15bbe3,Airbag,
843,536865868,Honda,68000000.0,City,i-DSI,2004,Automatic Triptonic,Bensin,165.000-170.000,Coklat,Sedan,>1.500 - 2.000 cc,4X2,Individu,,https://www.olx.co.id/iklan/honda-city-idsi-at-th-2004-akhir-siap-pakei-IDAkDkU.html?ad_type=OR#192a15bbe3,"Airbag, Electric Window, Bluetooth Audio","27, Dec 2019"
844,536865843,Toyota,185000000.0,Innova,G,2012,Manual,Bensin,25.000-30.000,Abu-abu,MPV,≤1.000 - 1.500 cc,Rear Wheel Drive (RWD),Individu,,https://www.olx.co.id/iklan/jual-cepat-inova-2011-akhir-IDAkDkw.html?ad_type=OR#192a15bbe3,,"10, Nov 2020"
845,536143268,Bmw,49000000.0,Serie 3,320i,1995,Manual,Bensin,295.000-300.000,Merah,Sedan,>1.500 - 2.000 cc,4X2,Individu,,https://www.olx.co.id/iklan/bmw-e36-kondisi-istimewa-ex-eksekutif-pemakai-IDAhBm4.html?ad_type=OR#192a15bbe3,"Bluetooth Audio, Electric Window, Jok kulit","04, Oct 2019"
846,536865778,Suzuki,145000000.0,Swift,GX,2017,Automatic,Bensin,25.000-30.000,Putih,Sedan,>1.500 - 2.000 cc,4X2,Individu,,https://www.olx.co.id/iklan/suwift-gx-barang-istimewa-2016-2017-IDAkDjs.html?ad_type=OR#192a15bbe3,Airbag,"20, Jan 2020"
847,536865738,Honda,155000000.0,Freed,S,2014,Automatic,Bensin,30.000-35.000,Abu-abu,MPV,>1.500 - 2.000 cc,Front Wheel Drive (FWD),Individu,,https://www.olx.co.id/iklan/freed-sd-2014-dobel-blower-IDAkDiO.html?ad_type=OR#192a15bbe3,"Jok kulit, Kamera Belakang, Bluetooth Audio","11, Dec 2019"
848,536865729,Toyota,127000000.0,Innova,G,2010,Manual,Bensin,120.000-125.000,Abu-abu,Minibus,>2.000 - 3.000 cc,4X2,,,https://www.olx.co.id/iklan/toyota-innova-g-m-t-2010-IDAkDiF.html?ad_type=OR#192a15bbe3,"Airbag, Sensor Parkir, Electric Window","26, May 2020"
849,536865706,Isuzu,75000000.0,Elf Minibus,2.8 Minibus Diesel,2004,Manual,Diesel,155.000-160.000,Putih,Minibus,>2.000 - 3.000 cc,4X2,Individu,,https://www.olx.co.id/iklan/isuzu-elf-ambulance-thn-2004-masih-aktif-IDAkDii.html?ad_type=OR#192a15bbe3,Jok kulit,"22, Nov 2019"
850,536865708,Toyota,186000000.0,Avanza,Veloz,2017,Automatic,Bensin,35.000-40.000,Putih,Minibus,≤1.000 - 1.500 cc,,Individu,,https://www.olx.co.id/iklan/avanza-veloz-1-5-auto-thn-2017-lunas-ppn-IDAkDik.html?ad_type=OR#192a15bbe3,"Sensor Parkir, Airbag, Jok kulit, GPS, Electric Window, Kamera Belakang, Bluetooth Audio",
851,535534299,Suzuki,54000000.0,Baleno next-G,GX,2003,Manual,Bensin,170.000-175.000,Silver,,,,,,https://www.olx.co.id/iklan/baleno-next-g-2003-m-t-istimewa-original-IDAf2WZ.html?ad_type=HL#991047f2a9;promoted,,
852,536190511,Suzuki,112000000.0,SX4,Cross Over,2011,Automatic,Bensin,95.000-100.000,Merah,MPV,≤1.000 - 1.500 cc,4X2,Diler,,https://www.olx.co.id/iklan/suzuki-sx4-x-over-at-2011-sangat-istimewa-IDAhNE3.html?ad_type=HL#991047f2a9;promoted,"Airbag, Electric Window","07, Aug 2020"
853,533275174,Suzuki,143000000.0,Ertiga,GL,2016,Automatic,Bensin,45.000-50.000,Putih,Minibus,≤1.000 - 1.500 cc,4X2,Diler,Bursa Mobil WTC Mangga Dua,https://www.olx.co.id/iklan/suzuki-ertiga-gl-matic-putih-th-2016-tgn-1-IDA5zeu.html?ad_type=HL#991047f2a9;promoted,"Sensor Parkir, Airbag, Bluetooth Audio, Kamera Belakang, Electric Window","30, Nov 2019"
854,535664776,Toyota,92500000.0,Vios,E,2013,Manual,Bensin,245.000-250.000,Lainnya,Sedan,≤1.000 - 1.500 cc,,Diler,,https://www.olx.co.id/iklan/mobil-toyota-vios-al-new-limo-IDAfASs.html?ad_type=OR#991047f2a9,"Airbag, Jok kulit",
855,533888735,Toyota,72500000.0,Avanza,E,2005,Manual,Bensin,120.000-125.000,Emas,,,,,,https://www.olx.co.id/iklan/pajak-baru-avanza-e-manual-th-2005-ac-single-1300cc-mulus-IDA88QD.html?ad_type=OR#991047f2a9,,
856,536864617,Suzuki,37000000.0,Carry Van,,2000,Manual,Bensin,120.000-125.000,Marun,Van,≤1.000 - 1.500 cc,4X2,Individu,,https://www.olx.co.id/iklan/suzuki-carry-futura-drv-tahun-2000-IDAkD0J.html?ad_type=OR#991047f2a9,,"20, Oct 2019"
857,536864124,Mercedes-benz,145000000.0,C-Class,C240,2002,Automatic,Bensin,100.000-105.000,Silver,Sedan,>2.000 - 3.000 cc,Front Wheel Drive (FWD),Individu,,https://www.olx.co.id/iklan/mercy-c240-brabus-2002-mulus-no-pr-IDAkCSM.html?ad_type=OR#991047f2a9,"Jok kulit, Sunroof, Airbag, Electric Window","07, Aug 2019"
858,536865628,Honda,115000000.0,Brio,E,2017,Manual,Bensin,15.000-20.000,Silver,Compact & City Car,≤1.000 - 1.500 cc,Front Wheel Drive (FWD),Diler,,https://www.olx.co.id/iklan/honda-brio-2017-e-mt-manual-kondisi-seperti-baru-IDAkDh2.html?ad_type=OR#991047f2a9,"Airbag, Sensor Parkir","17, Sep 2020"
859,536865555,Toyota,175000000.0,Avanza,1.5,2017,Automatic,Bensin,10.000-15.000,Putih,MPV,≤1.000 - 1.500 cc,4X2,Individu,,https://www.olx.co.id/iklan/avanza-veloz-putih-istimewa-matic-2017-IDAkDfR.html?ad_type=OR#991047f2a9,Kamera Belakang,"27, Jul 2019"
860,536865535,Toyota,200000000.0,Innova,G Luxury,2016,Automatic,Bensin,75.000-80.000,Putih,,>1.500 - 2.000 cc,,Individu,,https://www.olx.co.id/iklan/g-at-luxury-2014-IDAkDfx.html?ad_type=OR#991047f2a9,"Sensor Parkir, Jok kulit, Kamera Belakang",
861,536865506,Toyota,30000000.0,Kijang,,1987,Manual,Bensin,100.000-105.000,Hitam,,,,,,https://www.olx.co.id/iklan/kijang-super-th-87-long-IDAkDf4.html?ad_type=OR#991047f2a9,,
862,536865516,Honda,159000000.0,Jazz,RS,2013,Automatic Triptonic,Bensin,100.000-105.000,Putih,Hatchback,≤1.000 - 1.500 cc,Front Wheel Drive (FWD),Diler,,https://www.olx.co.id/iklan/jazz-rs-2013-matic-murah-IDAkDfe.html?ad_type=OR#991047f2a9;promoted,Kamera Belakang,"07, Oct 2019"
863,536865501,Toyota,168000000.0,Innova,G,2014,Manual,Bensin,60.000-65.000,Hitam,MPV,>1.500 - 2.000 cc,4X2,Individu,,https://www.olx.co.id/iklan/toyota-innova-g-mt-2014-mulus-IDAkDeZ.html?ad_type=OR#991047f2a9,"Airbag, Electric Window, Kamera Belakang, Bluetooth Audio","10, Jun 2020"
864,536865420,Truk,70000000.0,Mitsubshi Colt diesel,,1997,Manual,Diesel,100.000-105.000,Kuning,Truk,,,,,https://www.olx.co.id/iklan/dijual-murah-truk-ps-120-mesin-standar-chasis-mulus-siap-jalan-IDAkDdG.html?ad_type=OR#991047f2a9,,
865,536865441,Nissan,125000000.0,X-Trail,,2008,Automatic,Bensin,90.000-95.000,Abu-abu,SUV,>2.000 - 3.000 cc,,Diler,Bursa Mobil BG Junction Surabaya,https://www.olx.co.id/iklan/x-trail-xt-2008-body-kaleng-IDAkDe1.html?ad_type=OR#991047f2a9,,
866,536865375,Toyota,110000000.0,Avanza,S,2010,Automatic,Bensin,90.000-95.000,Abu-abu,Minibus,≤1.000 - 1.500 cc,Rear Wheel Drive (RWD),Individu,,https://www.olx.co.id/iklan/avanza-seri-s-th-2010-automatic-plat-ae-kota-IDAkDcX.html?ad_type=OR#991047f2a9,"Sensor Parkir, Jok kulit, Electric Window",
867,536865382,Suzuki,75000000.0,Carry,DX,2012,Manual,Bensin,30.000-35.000,Hitam,Pick-up,>1.500 - 2.000 cc,4X2,Individu,,https://www.olx.co.id/iklan/carry-mantap-2012-IDAkDd4.html?ad_type=OR#991047f2a9,Jok kulit,"27, Jul 2019"
868,536865388,Mitsubishi,27500000.0,Lancer,1.6 GLXi,1990,Manual,Bensin,0-5.000,Hitam,Sedan,>1.500 - 2.000 cc,4X2,Individu,,https://www.olx.co.id/iklan/lancer-danggan-dohc-IDAkDda.html?ad_type=OR#991047f2a9,Bluetooth Audio,"27, Jul 2019"
869,536712999,Truk,65000000.0,Toyota dyna rhino,,2002,Manual,Diesel,240.000-245.000,Merah,Truk,>2.000 - 3.000 cc,Rear Wheel Drive (RWD),Individu,,https://www.olx.co.id/iklan/truck-dyna-rino-3-unit-IDAjZzh.html?ad_type=HL#793dc4ca52;promoted,"Kamera Belakang, Jok kulit","25, Jul 2019"
870,532043121,Ford,128000000.0,Escape,Limited,2012,Automatic,Bensin,75.000-80.000,Hitam,SUV,>1.500 - 2.000 cc,Front Wheel Drive (FWD),Individu,,https://www.olx.co.id/iklan/ford-escape-pakaian-pribadi-atas-nama-sendiri-IDA0oIF.html?ad_type=HL#793dc4ca52;promoted,"Sunroof, Moonroof, Sensor Parkir, Airbag, Electric Window, Jok kulit","30, Sep 2019"
